"CountryCode"|"CountryName"|"FullyVaccinated"|"TravelOpenness"|"EntryRestrictions"|"Covid19Test"|"Quarantine"
ABW|Aruba|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
ABW|Aruba|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
AFG|Afghanistan|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|RECOMMENDED_QUARANTINE
AFG|Afghanistan|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|RECOMMENDED_QUARANTINE
AGO|Angola|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
AGO|Angola|1|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
AIA|Anguilla|0|LEVEL_3|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
AIA|Anguilla|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
ALB|Albania|0|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
ALB|Albania|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
AND|Andorra|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
AND|Andorra|1|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|NOT_REQUIRED_QUARANTINE
ARE|United Arab Emirates|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
ARE|United Arab Emirates|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
ARG|Argentina|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
ARG|Argentina|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
ARM|Armenia|0|LEVEL_2|MANDATORY_ENTRY_RESTRICTIONS|OPTIONAL_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
ARM|Armenia|1|LEVEL_1|MANDATORY_ENTRY_RESTRICTIONS|NOT_REQUIRED_COVID_19_TEST|MAY_BE_REQUIRED_QUARANTINE
ASM|American Samoa|0|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
ASM|American Samoa|1|LEVEL_4|MANDATORY_ENTRY_RESTRICTIONS|MANDATORY_COVID_19_TEST|MANDATORY_QUARANTINE
